Entry no,corona_GMA,corona_MPC,corona_AcETMAC,corona_MAA,corona_DMA,corona_PEG,corona_CysMA,corona_GluMA,corona_DMAPS,corona_AEMA,corona_QDMAEMA,corona_HPMAm,corona_KSPMA,corona_MAcEPyr,corona_DSDMA,clogp_corona,mon_corona_mw,mon_corona_apol,mon_corona_mv,mon_corona_psa,dp_corona,corona_mw_total,corona_mv_total,core_BzMA,core_DAAM,core_EGEMA,core_GlyMA,core_HBMA,core_HEMA,core_HPMA,core_MEMA,core_PhA,core_TFMA,core_EGDMA,core_cyclic,clogp_core,mon_core_mw,mon_core_apol,mon_core_mv,mon_core_psa,dp_core,core_mw_total,core_mv_total,ratio_mass,ratio_vol,conc,ph,salt,charged,temp,initiator,sphere,worm,vesicle,other,cophases
49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,160.07,23.529516,1.2437,66.76,60,9604.2,74.622,0,0,0,0,0.5,0.5,0,0,0,0,0,0,1.12,144.075,22.727516,1.185,46.53,300,43222.5,355.5,0.181805791,0.173490312,20,7,0,1,70,ACVA,0,0,1,0,0
50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,160.07,23.529516,1.2437,66.76,55,8803.85,68.4035,0,0,0,0.25,0,0,0.75,0,0,0,0,0,1.125,143.575,22.3941195,1.15785,44.605,329,47236.175,380.93265,0.157099323,0.152232354,10,7,0,0,70,ACVA,0,0,1,0,0
51,0.913,0,0,0,0,0,0,0,0,0,0.087,0,0,0,0,-0.14229,164.16161,24.32963395,1.2867824,63.23998,127,20848.52447,163.4213648,0,0,0,0,0,0,1,0,0,0,0,0,1.1,144.08,22.727516,1.185,46.53,500,72040,592.5,0.224446718,0.216188313,10,7,0.3,1,70,ACVA,1,0,0,0,0
52,0.913,0,0,0,0,0,0,0,0,0,0.087,0,0,0,0,-0.14229,164.16161,24.32963395,1.2867824,63.23998,127,20848.52447,163.4213648,0,0,0,0,0,0,1,0,0,0,0,0,1.1,144.08,22.727516,1.185,46.53,300,43224,355.5,0.325389465,0.314925104,10,7,0.3,1,70,ACVA,1,0,0,0,0
53,0.913,0,0,0,0,0,0,0,0,0,0.087,0,0,0,0,-0.14229,164.16161,24.32963395,1.2867824,63.23998,127,20848.52447,163.4213648,0,0,0,0,0,0,1,0,0,0,0,0,1.1,144.08,22.727516,1.185,46.53,600,86448,711,0.194307547,0.186890864,10,7,0.3,1,70,ACVA,1,0,0,0,0
54,0.913,0,0,0,0,0,0,0,0,0,0.087,0,0,0,0,-0.14229,164.16161,24.32963395,1.2867824,63.23998,127,20848.52447,163.4213648,0,0,0,0,0,0,1,0,0,0,0,0,1.1,144.08,22.727516,1.185,46.53,700,100856,829.5,0.171304432,0.164586412,10,7,0.3,1,70,ACVA,1,0,0,0,0
55,0.913,0,0,0,0,0,0,0,0,0,0.087,0,0,0,0,-0.14229,164.16161,24.32963395,1.2867824,63.23998,127,20848.52447,163.4213648,0,0,0,0,0,0,1,0,0,0,0,0,1.1,144.08,22.727516,1.185,46.53,900,129672,1066.5,0.138509513,0.132871393,10,7,0.3,1,70,ACVA,1,0,0,0,0
56,0.913,0,0,0,0,0,0,0,0,0,0.087,0,0,0,0,-0.14229,164.16161,24.32963395,1.2867824,63.23998,127,20848.52447,163.4213648,0,0,0,0,0,0,1,0,0,0,0,0,1.1,144.08,22.727516,1.185,46.53,200,28816,237,0.419787055,0.40812349,10,7,0.3,1,70,ACVA,0,0,0,1,0
57,0.913,0,0,0,0,0,0,0,0,0,0.087,0,0,0,0,-0.14229,164.16161,24.32963395,1.2867824,63.23998,127,20848.52447,163.4213648,0,0,0,0,0,0,1,0,0,0,0,0,1.1,144.08,22.727516,1.185,46.53,200,28816,237,0.419787055,0.40812349,10,7,0.4,1,70,ACVA,1,0,0,0,0
58,0.913,0,0,0,0,0,0,0,0,0,0.087,0,0,0,0,-0.14229,164.16161,24.32963395,1.2867824,63.23998,127,20848.52447,163.4213648,0,0,0,0,0,0,1,0,0,0,0,0,1.1,144.08,22.727516,1.185,46.53,300,43224,355.5,0.325389465,0.314925104,10,7,0.3,1,70,ACVA,1,0,0,0,0
